interview_id,turn_idx,gpt_label,gpt_confidence
177390,6,POSITIVE,1
119891,6,POSITIVE,1
100065,0,POSITIVE,1
150202,3,NEUTRAL,1
150526,3,POSITIVE,1
167290,9,NEGATIVE,1
167840,0,NEGATIVE,1
140722,0,POSITIVE,1
90017,2,NEUTRAL,1
140547,0,POSITIVE,1
120609,7,NEUTRAL,1
159978,10,POSITIVE,1
140455,5,POSITIVE,1
167840,3,POSITIVE,1
167583,1,NEUTRAL,1
176984,1,NEGATIVE,1
99414,4,POSITIVE,1
119929,4,NEGATIVE,1
140680,1,NEGATIVE,1
167072,14,NEUTRAL,1
167292,7,NEUTRAL,0
120505,7,NEGATIVE,1
159979,1,POSITIVE,1
99498,3,POSITIVE,1
99911,10,NEUTRAL,0
89895,7,POSITIVE,1
160301,3,NEUTRAL,0
130655,8,POSITIVE,1
167584,0,NEUTRAL,0
109710,3,POSITIVE,1
150299,8,NEUTRAL,0
89966,7,NEUTRAL,0
151028,3,POSITIVE,1
167090,3,NEGATIVE,1
89720,10,POSITIVE,1
99995,9,NEUTRAL,0
109714,2,POSITIVE,1
89777,14,POSITIVE,1
131030,5,POSITIVE,1
176829,3,NEUTRAL,0
109779,1,NEUTRAL,0
160219,0,POSITIVE,1
140535,0,NEUTRAL,0
90023,2,NEUTRAL,0
176992,4,POSITIVE,1
99827,7,POSITIVE,1
120420,1,NEUTRAL,0
140452,6,NEGATIVE,1
150939,0,NEUTRAL,0
167115,0,POSITIVE,1
130381,11,POSITIVE,1
176826,1,NEUTRAL,0
176916,3,POSITIVE,1
140373,10,POSITIVE,1
89663,10,POSITIVE,1
150487,0,NEUTRAL,0
176841,3,NEUTRAL,0
110195,8,NEGATIVE,1
99855,4,NEUTRAL,0
130570,4,POSITIVE,1
90115,5,NEGATIVE,1
150541,4,POSITIVE,1
167091,6,POSITIVE,1
177342,0,POSITIVE,1
177482,3,POSITIVE,1
167882,3,POSITIVE,1
167887,13,NEUTRAL,0
167777,1,POSITIVE,1
160133,4,POSITIVE,1
160217,4,POSITIVE,1
90120,1,NEUTRAL,0
150482,2,NEUTRAL,0
177344,4,POSITIVE,1
150643,4,NEUTRAL,0
120416,1,POSITIVE,1
99834,11,NEUTRAL,0
89890,2,POSITIVE,1
177286,0,POSITIVE,1
99410,11,NEUTRAL,0
130381,15,NEUTRAL,0
90171,2,POSITIVE,1
120271,4,NEGATIVE,1
130695,7,NEUTRAL,1
140728,4,NEUTRAL,1
176981,0,NEUTRAL,1
99834,4,NEGATIVE,1
176828,2,POSITIVE,1
150345,8,NEUTRAL,1
160282,0,NEUTRAL,1
160171,3,POSITIVE,1
167637,2,NEUTRAL,1
109806,1,NEUTRAL,1
120320,0,POSITIVE,1
99996,8,NEGATIVE,1
100061,2,NEUTRAL,1
90154,3,NEGATIVE,1
176982,7,POSITIVE,1
167072,9,POSITIVE,1
90147,1,NEUTRAL,1
90118,5,NEGATIVE,1
150639,4,NEUTRAL,1
177138,7,POSITIVE,1
99469,7,NEGATIVE,1
120608,8,POSITIVE,1
167070,14,POSITIVE,1
89870,9,POSITIVE,1
176977,4,NEUTRAL,1
140549,0,POSITIVE,1
130610,7,NEUTRAL,1
167586,9,NEUTRAL,1
150643,1,NEUTRAL,1
110129,0,NEUTRAL,1
89660,7,NEUTRAL,1
167642,1,POSITIVE,1
167146,5,NEUTRAL,1
177091,5,POSITIVE,1
140677,2,POSITIVE,1
99832,1,POSITIVE,1
167210,6,POSITIVE,1
130613,12,POSITIVE,1
140660,8,NEUTRAL,1
167207,5,NEUTRAL,1
150640,0,NEUTRAL,1
167089,0,NEUTRAL,1
167066,8,POSITIVE,1
150345,11,NEUTRAL,1
177036,3,POSITIVE,1
110236,4,NEUTRAL,1
99976,4,POSITIVE,1
176989,5,NEUTRAL,1
177339,1,POSITIVE,1
159997,0,NEGATIVE,1
150176,3,POSITIVE,1
130613,7,NEGATIVE,1
90150,5,NEUTRAL,1
99566,3,NEUTRAL,1
120268,8,NEUTRAL,1
99997,12,NEGATIVE,1
167582,8,POSITIVE,1
140652,0,POSITIVE,1
99854,1,NEUTRAL,1
120330,1,NEUTRAL,1
99457,4,POSITIVE,1
167887,2,NEGATIVE,1
109809,0,NEUTRAL,1
99974,2,NEUTRAL,1
120390,2,NEUTRAL,1
120281,3,POSITIVE,1
167829,6,NEUTRAL,1
120282,5,NEGATIVE,1
150541,9,NEUTRAL,1
110230,12,NEUTRAL,1
119933,1,NEUTRAL,1
177388,3,NEUTRAL,1
150543,3,POSITIVE,1
120315,7,POSITIVE,1
109769,9,POSITIVE,1
130381,0,NEUTRAL,1
177230,6,NEUTRAL,1
177225,0,POSITIVE,1
120324,0,NEUTRAL,1
99473,3,POSITIVE,1
176987,5,POSITIVE,1
89884,10,POSITIVE,1
177081,0,NEUTRAL,1
167069,11,NEGATIVE,1
89889,20,NEUTRAL,1
90173,7,NEUTRAL,1
167110,6,POSITIVE,1
150189,4,POSITIVE,1
150524,6,POSITIVE,1
150962,1,NEUTRAL,1
89956,1,NEUTRAL,1
89747,3,NEGATIVE,1
167206,7,POSITIVE,1
130601,7,NEGATIVE,1
89720,9,NEUTRAL,1
100066,2,POSITIVE,1
99997,10,NEUTRAL,1
159980,2,NEUTRAL,1
150960,1,POSITIVE,1
150975,7,POSITIVE,1
90116,5,POSITIVE,1
167296,4,POSITIVE,1
177342,1,POSITIVE,1
159957,4,NEUTRAL,1
177133,0,NEUTRAL,1
167205,4,NEUTRAL,1
119876,0,NEUTRAL,1
177482,5,NEGATIVE,1
