interview_id,turn_idx,speaker,role,round,asap_year,word_count,label,label_notes,turn_text
150459,1,NICK NURSE,coach,Finals,2019,81,NEUTRAL,"Analytical about foul calls, no strong valence","Well, I got to look at them. I know, one, he's a great charge-taker, right, and I know one of them was possibly a charge, block/charge and those are tough, they go each way. But maybe that sixth one, I didn't really see it in the game. So in the back court, probably 80 feet or so from the basket, those are ones you got to be careful, especially when you got five. But I'll need to look at that first."
176979,5,STEVE KERR,coach,Finals,2022,108,POSITIVE,Full confidence player will bounce back; optimistic,"It's a game where he didn't really get into rhythm. You give Boston the credit, again, that they deserve. They are the No. 1 defense in the league. They did a good job on him, staying physical with him. Then you see the tape and you realize, okay, we could do this, we could do that, and you make some adjustments. But ultimately you trust that like any player who has made the impact that he has, you trust that there's going to be some ups and downs. I thought it was a tough night for him, but I have full confidence that tomorrow will be much better."
167117,2,MIKE BUDENHOLZER,coach,Finals,2021,33,POSITIVE,Playful and warm: 'It's great. It's a lot of fun',"No, if he gets me, I don't know what it will be. He has got some different ones he draws up and writes the numbers down. It's great. It's a lot of fun."
167777,8,MIKE BUDENHOLZER,coach,Finals,2021,123,NEUTRAL,Social awareness commentary; ends with 'excited about finishing strong' but dominantly informational,"Yes. We've had some conversations. We've actually had conversations throughout the entire season, like you've referenced. The start of the Playoffs, as you've gone from round to round and just within the last two, three, four days. , we are aware. We live in this world. Whether it's all 50 states going up or things that are happening closer to us at home. I think all the players, I think they're locked in, being safe, being healthy. Hoping for the best for everybody around us and our country. But, yeah, there's a real push to stay safe, to stay healthy, to be vigilant. Both teams, we're very, very close to the finish. We're excited about finishing this strong. FastScripts Transcript by ASAP Sports"
89660,10,ERIK SPOELSTRA,coach,Finals,2013,211,POSITIVE,Extended praise of LeBron's evolution as a player,"Â I didn't coach him, so I'll have to just go off recall.Â That wouldn't be terribly accurate for me to comment right now, especially because I haven't seenit.Â I saw that series then.Â But that's so many years ago.Â We were more disappointed‑‑ we won the title the year before, and we didn't have an opportunity to play for it that year.Â We were so disappointed about that.Â We wanted to face the Spurs. LeBron's game has evolved tenfold just since his time that he's been here in Miami, and that I can speak to.Â The evolution of all the different aspects of his game, in the post, his pick‑and‑roll game both ways, where he's handling it and now he's a screener, more movement, less isolation basketball, playing within a system, and certainly his shooting has improved dramatically.Â You don't shoot about 55% as a perimeter player unless some things are working.Â You're taking the right shots, but you're also have improved your mid‑range and three‑point shooting, knowing that everybody is going to try to get you to take that.Â Keeping teams honest enough with that, but still being able to get to the rim.Â And be able to orchestrate an offense where he scores and facilitates just as equally."
160597,6,ERIK SPOELSTRA,coach,Finals,2020,96,POSITIVE,"Strong praise: 'He is a winner, a leader, a supreme competitor'","Jimmy has a superstar competitive spirit to him. If you try to evaluate him or put him in a conventional box of how you view a modern-day basketball player, you're totally missing the boat on JB. He is a winner, he is a leader, he is a motivator, a mentor and just a supreme competitor. And when you get to this level, I think so many people forget about that, the competition and what you can bring out of an entire franchise when you're wired to that level of fierce competitiveness. FastScripts Transcript by ASAP Sports"
177118,8,STEVE KERR,coach,Finals,2022,135,POSITIVE,Celebrates 'beauty of the game' and mutual excellence in competition,"Yeah, that's kind of the beauty of the game. It's a five-man game and players have to work together, and when there's a rhythm and a flow to the game and a group gets going, there's a real feeling, a real beauty to it. It's not easy to do in the Playoffs when you're playing the best defensive teams and the game is at its most physical. But at the same time, your opponent brings out the best in you. When you play the best, it forces you to be your best, and I think we've seen stretches in the first two games where both teams have really been playing at a high level, and that's the whole idea -- competition, two teams bringing the best out in one another. FastScripts Transcript by ASAP Sports"
99829,3,GREGG POPOVICH,coach,Finals,2014,55,NEUTRAL,Tactical rationale for lineup choice; matter-of-fact,"Â Well, Boris is a good, all‑around basketball player, so he can do several things at both ends of the court.Â And we thought that we probably would need that just to have the best opportunity to play good basketball.Â He allows us to have more variety in our offense, and he's an underrated defender."
99413,2,ERIK SPOELSTRA,coach,Finals,2014,46,POSITIVE,Mildly optimistic: 'He has a great way of figuring it out',"Â We'll see.Â He has a great way of figuring it out.Â If that's the scheme, then we have to find a way to conquer it.Â If it's making open shots, there is a lot worse problems you can have, especially at this level of competition."
167918,1,MONTY WILLIAMS,coach,Finals,2021,73,POSITIVE,"Team is focused, locked in, not tight - expressing confidence in team state","Focused. But not tight or anything like that. They're just focused. We have had good practices and workouts since the beginning of the playoffs. Every level we have gotten to it's just gotten more heightened with the stakes, but the focus continues to grow. , this is the deal, so to speak. Our guys are locked into the game plan, but also I don't think they're tight at all or anything like that."
167204,4,MONTY WILLIAMS,coach,Finals,2021,166,POSITIVE,"Post-win analysis; player had a balanced, strong game","Well, I think tonight anyway he recognized once he started making shots and they ran him off the line, he was getting to his spot. Sometimes he would get close to the basket but he would get to a spot where he can make that seven, eight-foot jump shot. He's been doing that all year, it's just that everybody's seeing it now. But I thought he had balance tonight, he wasn't just taking shots, contested shots, even though he could have, because he's long, when they ran him off the line he was getting to the basket and I think the other side of it is when DA's low, you can't leave him and so that allows for Mikal to get to his spot and the big can't help. So, I think DA generates a lot of offense for us because he offensive rebounds so well that the help defense at times can't come help on our guys when they drive and shoot those mid-range shots."
140491,3,TYRONN LUE,coach,Finals,2018,56,NEGATIVE,Acknowledges tough loss: 'our guys were disappointed about the loss',"No explanation. , it's a tough call. We understand that. But now we've got to bounce back and be ready to go for Game 2. Our guys were disappointed about the loss, but it's behind us now. Now we've got to focus on what we did well and carry that into Game 2 and play better."
150937,0,STEVE KERR,coach,Finals,2019,68,NEGATIVE,Devastated about Kevin Durant injury despite win: 'I'm just devastated',"I don't think that I can, honestly. I just told the team I didn't know what to say because on the one hand I'm so proud of them, just the amazing heart and grit that they showed, and on the other I'm just devastated for Kevin. So it's a bizarre feeling that we all have right now. An incredible win and a horrible loss at the same time."
176907,4,STEVE KERR,coach,Finals,2022,57,NEUTRAL,Film-study plan; mildly positive ending but mostly analytical,"We'll watch the tape and see what we need to do. I thought Boston did a good job on Jordan. Put a lot of pressure on him. There's probably some things that we can do to help free him up. And then, , he's a hell of a player. So he'll bounce back and play better, too."
89740,5,ERIK SPOELSTRA,coach,Finals,2013,49,NEUTRAL,"Tactical: 'whatever it takes' - strategic framing, no clear valence","Â Whatever it takes.Â That's my deal with LeBron.Â He understands.Â It's one through five.Â Depending on the matchup, wherever we need it, we have 14 days left, whatever it takes.Â And at this point you weigh the risk‑reward.Â But whatever we feel is best at that appropriate time."
119313,14,DWANE CASEY,coach,ECF,2016,89,NEGATIVE,Analyzing stretches of poor play that cost them the game,"Well, I think the mental toughness of the group. That's why us -- again, I'm not saying we're not competing. We had stretches where we don't compete, which shoots us in the foot. Like last night, they beat us by two in the first quarter, three in the third quarter, and two in the fourth quarter, but they get us by eight, and 12 in the second quarter. So the stretch in the second quarter, we've got to cut down on those stretches where we don't get it done."
119313,7,DWANE CASEY,coach,ECF,2016,68,NEUTRAL,"Injury recovery update; cautiously watchful, informational","His progression is coming. He's on the court. Alex McKechnie and the staff is doing an excellent job of getting him back up to speed and working with it and getting the flexibility in the ankle. , it's coming along. But we're not going to rush it back just to -- is it something that you could do further damage to it if you rush back too quick."
129802,6,BRAD STEVENS,coach,ECF,2017,100,NEUTRAL,Rotation options analysis; no emotional content,"I think we've been double bigs a lot when we've played some of our best basketball this year, and then there have been moments where we weren't able to do it and we had to go small. But usually we have at least one, sometimes two bigs, when we are double bigs that can both shoot threes. Today I felt like it was more advantageous to go small later. I don't know how much you can glean from that third and fourth quarter, but we'll look at all those options and try to figure out what our best avenue is."
119383,0,TYRONN LUE,coach,ECF,2016,43,NEUTRAL,Giving tactical credit to opponent defense; analytical,"Yes, they've done a great job of just closing out and running us off the three-point line, and also just stunting and staying at home. That's giving Kyrie [Irving] and LeBron [James] a chance to get downhill and score points in the paint."
