interview_id,turn_idx,turn_text,label,source,label_id
150459,1,"Well, I got to look at them. I know, one, he's a great charge-taker, right, and I know one of them was possibly a charge, block/charge and those are tough, they go each way. But maybe that sixth one, I didn't really see it in the game. So in the back court, probably 80 feet or so from the basket, those are ones you got to be careful, especially when you got five. But I'll need to look at that first.",NEUTRAL,hand,1
176979,5,"It's a game where he didn't really get into rhythm. You give Boston the credit, again, that they deserve. They are the No. 1 defense in the league. They did a good job on him, staying physical with him. Then you see the tape and you realize, okay, we could do this, we could do that, and you make some adjustments. But ultimately you trust that like any player who has made the impact that he has, you trust that there's going to be some ups and downs. I thought it was a tough night for him, but I have full confidence that tomorrow will be much better.",POSITIVE,hand,2
167117,2,"No, if he gets me, I don't know what it will be. He has got some different ones he draws up and writes the numbers down. It's great. It's a lot of fun.",POSITIVE,hand,2
167777,8,"Yes. We've had some conversations. We've actually had conversations throughout the entire season, like you've referenced. The start of the Playoffs, as you've gone from round to round and just within the last two, three, four days. , we are aware. We live in this world. Whether it's all 50 states going up or things that are happening closer to us at home. I think all the players, I think they're locked in, being safe, being healthy. Hoping for the best for everybody around us and our country. But, yeah, there's a real push to stay safe, to stay healthy, to be vigilant. Both teams, we're very, very close to the finish. We're excited about finishing this strong. FastScripts Transcript by ASAP Sports",NEUTRAL,hand,1
89660,10,"Â I didn't coach him, so I'll have to just go off recall.Â That wouldn't be terribly accurate for me to comment right now, especially because I haven't seenit.Â I saw that series then.Â But that's so many years ago.Â We were more disappointed‑‑ we won the title the year before, and we didn't have an opportunity to play for it that year.Â We were so disappointed about that.Â We wanted to face the Spurs. LeBron's game has evolved tenfold just since his time that he's been here in Miami, and that I can speak to.Â The evolution of all the different aspects of his game, in the post, his pick‑and‑roll game both ways, where he's handling it and now he's a screener, more movement, less isolation basketball, playing within a system, and certainly his shooting has improved dramatically.Â You don't shoot about 55% as a perimeter player unless some things are working.Â You're taking the right shots, but you're also have improved your mid‑range and three‑point shooting, knowing that everybody is going to try to get you to take that.Â Keeping teams honest enough with that, but still being able to get to the rim.Â And be able to orchestrate an offense where he scores and facilitates just as equally.",POSITIVE,hand,2
160597,6,"Jimmy has a superstar competitive spirit to him. If you try to evaluate him or put him in a conventional box of how you view a modern-day basketball player, you're totally missing the boat on JB. He is a winner, he is a leader, he is a motivator, a mentor and just a supreme competitor. And when you get to this level, I think so many people forget about that, the competition and what you can bring out of an entire franchise when you're wired to that level of fierce competitiveness. FastScripts Transcript by ASAP Sports",POSITIVE,hand,2
177118,8,"Yeah, that's kind of the beauty of the game. It's a five-man game and players have to work together, and when there's a rhythm and a flow to the game and a group gets going, there's a real feeling, a real beauty to it. It's not easy to do in the Playoffs when you're playing the best defensive teams and the game is at its most physical. But at the same time, your opponent brings out the best in you. When you play the best, it forces you to be your best, and I think we've seen stretches in the first two games where both teams have really been playing at a high level, and that's the whole idea -- competition, two teams bringing the best out in one another. FastScripts Transcript by ASAP Sports",POSITIVE,hand,2
99829,3,"Â Well, Boris is a good, all‑around basketball player, so he can do several things at both ends of the court.Â And we thought that we probably would need that just to have the best opportunity to play good basketball.Â He allows us to have more variety in our offense, and he's an underrated defender.",NEUTRAL,hand,1
99413,2,"Â We'll see.Â He has a great way of figuring it out.Â If that's the scheme, then we have to find a way to conquer it.Â If it's making open shots, there is a lot worse problems you can have, especially at this level of competition.",POSITIVE,hand,2
167918,1,"Focused. But not tight or anything like that. They're just focused. We have had good practices and workouts since the beginning of the playoffs. Every level we have gotten to it's just gotten more heightened with the stakes, but the focus continues to grow. , this is the deal, so to speak. Our guys are locked into the game plan, but also I don't think they're tight at all or anything like that.",POSITIVE,hand,2
167204,4,"Well, I think tonight anyway he recognized once he started making shots and they ran him off the line, he was getting to his spot. Sometimes he would get close to the basket but he would get to a spot where he can make that seven, eight-foot jump shot. He's been doing that all year, it's just that everybody's seeing it now. But I thought he had balance tonight, he wasn't just taking shots, contested shots, even though he could have, because he's long, when they ran him off the line he was getting to the basket and I think the other side of it is when DA's low, you can't leave him and so that allows for Mikal to get to his spot and the big can't help. So, I think DA generates a lot of offense for us because he offensive rebounds so well that the help defense at times can't come help on our guys when they drive and shoot those mid-range shots.",POSITIVE,hand,2
140491,3,"No explanation. , it's a tough call. We understand that. But now we've got to bounce back and be ready to go for Game 2. Our guys were disappointed about the loss, but it's behind us now. Now we've got to focus on what we did well and carry that into Game 2 and play better.",NEGATIVE,hand,0
150937,0,"I don't think that I can, honestly. I just told the team I didn't know what to say because on the one hand I'm so proud of them, just the amazing heart and grit that they showed, and on the other I'm just devastated for Kevin. So it's a bizarre feeling that we all have right now. An incredible win and a horrible loss at the same time.",NEGATIVE,hand,0
176907,4,"We'll watch the tape and see what we need to do. I thought Boston did a good job on Jordan. Put a lot of pressure on him. There's probably some things that we can do to help free him up. And then, , he's a hell of a player. So he'll bounce back and play better, too.",NEUTRAL,hand,1
89740,5,"Â Whatever it takes.Â That's my deal with LeBron.Â He understands.Â It's one through five.Â Depending on the matchup, wherever we need it, we have 14 days left, whatever it takes.Â And at this point you weigh the risk‑reward.Â But whatever we feel is best at that appropriate time.",NEUTRAL,hand,1
119313,14,"Well, I think the mental toughness of the group. That's why us -- again, I'm not saying we're not competing. We had stretches where we don't compete, which shoots us in the foot. Like last night, they beat us by two in the first quarter, three in the third quarter, and two in the fourth quarter, but they get us by eight, and 12 in the second quarter. So the stretch in the second quarter, we've got to cut down on those stretches where we don't get it done.",NEGATIVE,hand,0
119313,7,"His progression is coming. He's on the court. Alex McKechnie and the staff is doing an excellent job of getting him back up to speed and working with it and getting the flexibility in the ankle. , it's coming along. But we're not going to rush it back just to -- is it something that you could do further damage to it if you rush back too quick.",NEUTRAL,hand,1
129802,6,"I think we've been double bigs a lot when we've played some of our best basketball this year, and then there have been moments where we weren't able to do it and we had to go small. But usually we have at least one, sometimes two bigs, when we are double bigs that can both shoot threes. Today I felt like it was more advantageous to go small later. I don't know how much you can glean from that third and fourth quarter, but we'll look at all those options and try to figure out what our best avenue is.",NEUTRAL,hand,1
119383,0,"Yes, they've done a great job of just closing out and running us off the three-point line, and also just stunting and staying at home. That's giving Kyrie [Irving] and LeBron [James] a chance to get downhill and score points in the paint.",NEUTRAL,hand,1
150028,5,"He's certainly incredibly important to us. He's a great shooter. He can impact the game and do a lot of things. As I reflect on it and watch the tape and even just look at the box score, he's got 10 assists. The usage or the involvement, the impact that Khris was having, I think we can't just look at nine shots. I'm not sure if he's had 10 assists in a game this year, to be honest with you. [Middleton had 10 assists one time in the regular season.] It's got to be near the top of his assists. The ball is in his hands. He's making great decisions. He's doing things that are really positive and really impactful. Would we love to get him a few more threes, maybe a few more shots? Yes. But I think the way he's passing and reading the situations and really looking at the film -- Giannis very similarly. I think Giannis is passing and sharing in a really good way. As always, we'd like to get better. So we'll see if there's ways we can help.",POSITIVE,hand,2
149626,7,"I'd much rather watch these guys than coach against them. They're amazing. They're tough to guard. We've seen them a couple times in the Playoffs over the last few years, and so we know how difficult the challenge is. From a fan standpoint, this is as good as it gets, between Steph, Klay, Damian and CJ. All great players going head to head. It's going to be entertaining. But we've got to find a way to slow those guys down.",POSITIVE,hand,2
140190,7,"I don't know about the Celtics in the '60s, I was either not born or too small to know. But I do know from my own experience in the NBA, this is how the playoffs go. It's supposed to feel hard. It's supposed to feel difficult. Stuff happens. You get injuries, suspensions, things happen, and you just have to play through everything. There are no excuses at the end. If you win, you celebrate, and you don't worry about what happened to the other team; and if you lose, you're bummed out. But you don't sit there and say, If this had happened or that had happened. None of that matters. You just go and compete, and that's what we're going to do tonight.",NEUTRAL,hand,1
159896,0,"LeBron asked for the assignment and I granted it. He did a great job down the stretch trying to contain him one-on-one. Murray had a great night. Nothing was really working in terms of trying to slow him down until LeBron took that assignment. Game ball to him, I guess, for that move.",POSITIVE,hand,2
119625,6,"No, I knew how we would play. This is a championship team. They've been through a lot the last couple of years, always responded well from adversity, and this is exactly what I expected.",POSITIVE,hand,2
119646,9,"We changed our matchups a little bit, but mainly we just played better. We were more focused, more locked in, tougher, and we're going to have to be better tomorrow night on their home floor.",POSITIVE,hand,2
